City,Latitude,Longitude,Color
New York|New York|United States,40.79,-73.95,blue
Seoul|@|South Korea,37.62,127.1,red
London|England|United Kingdom,51.52,-0.13,red
Haidian District|Beijing|China,39.99,116.36,red
Moscow|Moscow|Russia,55.83,37.54,red
Newark|Delaware|United States,39.68,-75.75,blue
Munich|Bavaria|Germany,48.14,11.55,blue
Washington|District of Columbia|United States,38.91,-77.04,red
Cambridge|Massachusetts|United States,42.38,-71.12,red
Chicago|Illinois|United States,41.88,-87.67,blue
Tehran|@|Iran,35.66,51.47,red
Los Angeles|California|United States,34.08,-118.25,red
Philadelphia|Pennsylvania|United States,39.95,-75.16,blue
Paris|Ile-de-France|France,48.85,2.36,blue
Melbourne|Victoria|Australia,-38.37,145.02,blue
Sydney|New South Wales|Australia,-33.87,151.22,blue
Montreal|Quebec|Canada,45.5,-73.58,blue
Boston|Massachusetts|United States,42.35,-71.08,red
Toronto|Ontario|Canada,43.67,-79.38,blue
Baltimore|Maryland|United States,39.3,-76.62,blue
Boulogne-Billancourt|Ile-de-France|France,48.83,2.23,blue
Bethesda|Maryland|United States,39.01,-77.1,blue
Bunkyo|@|Japan,35.72,139.74,red
Houston|Texas|United States,29.78,-95.63,blue
Taipei|Taipei|Taiwan,25.02,121.55,red
Ann Arbor|Michigan|United States,42.24,-83.74,blue
Kyoto|@|Japan,35.03,135.76,red
São Paulo|São Paulo|Brazil,-23.55,-46.63,red
Seattle|Washington|United States,47.6,-122.33,blue
Pittsburgh|Pennsylvania|United States,40.45,-80.0,blue
Palo Alto|California|United States,37.41,-122.14,red
Atlanta|Georgia|United States,33.76,-84.39,red
Madison|Wisconsin|United States,43.08,-89.38,blue
San Diego|California|United States,32.7,-117.25,blue
Yanta|Shaanxi|China,34.23,108.96,red
Stockholm|@|Sweden,59.33,18.06,blue
New Delhi|Delhi|India,28.63,77.22,red
Minneapolis|Minnesota|United States,44.98,-93.27,red
Xuanwu District|Jiangsu|China,32.06,118.83,blue
Berlin|Berlin|Germany,52.46,13.3,blue
Cambridge|England|United Kingdom,52.21,0.11,blue
Brisbane City|Queensland|Australia,-27.46,153.03,blue
Kowloon|Hong Kong|China,22.32,114.18,red
Copenhagen|@|Denmark,55.68,12.57,blue
Mexico City|Mexico City|Mexico,19.51,-99.13,red
Oxford|England|United Kingdom,51.76,-1.25,blue
Amsterdam|North Holland|Netherlands,52.36,4.95,blue
Ithaca|New York|United States,42.45,-76.47,blue
Wuchang District|Hubei|China,30.59,114.31,red
Xuhui District|@|China,31.19,121.43,red
Rochester|Minnesota|United States,44.02,-92.47,blue
Harbin|Heilongjiang|China,45.76,126.64,red
Cleveland|Ohio|United States,41.48,-81.61,blue
Kaifu|Hunan|China,28.23,113.01,red
Yangpu District|@|China,31.31,121.55,blue
Clayton|Missouri|United States,38.64,-90.34,blue
Champaign|Illinois|United States,40.11,-88.23,red
Columbus|Ohio|United States,39.95,-82.98,red
Gainesville|Florida|United States,29.64,-82.35,red
Milan|Lombardy|Italy,45.51,9.27,blue
San Francisco|California|United States,37.8,-122.4,blue
Berkeley|California|United States,37.87,-122.27,red
Durham|North Carolina|United States,35.92,-78.87,blue
Xihu District|Zhejiang|China,30.26,120.12,blue
Sendai|@|Japan,38.3,140.87,red
Ibaraki|@|Japan,34.82,135.53,red
Tianjin|Tianjin|China,39.07,117.19,red
New Haven|Connecticut|United States,41.31,-72.94,blue
Electoral Area A|British Columbia|Canada,49.26,-123.24,blue
Alcobendas|Community of Madrid|Spain,40.54,-3.65,blue
Zurich|Zurich|Switzerland,47.41,8.54,blue
Madrid|Community of Madrid|Spain,40.42,-3.71,red
Brussels|@|Belgium,50.85,4.36,blue
Davis|California|United States,38.55,-121.75,blue
Singapore|@|Singapore,1.38,103.86,red
Nagoya|@|Japan,35.21,137.0,red
Vienna|Vienna|Austria,48.19,16.37,blue
Edmonton|Alberta|Canada,53.54,-113.5,blue
Rome|Lazio|Italy,41.93,12.61,red
Canberra|@|Australia,-35.28,149.13,red
State College|Pennsylvania|United States,40.79,-77.87,red
Fukuoka|@|Japan,33.63,130.42,red
Austin|Texas|United States,30.28,-97.74,red
Ankara|@|Turkey,39.91,32.74,red
Warsaw|Masovian Voivodeship|Poland,52.24,21.01,red
Campinas|São Paulo|Brazil,-22.82,-47.07,red
Mechelen|Antwerp|Belgium,51.03,4.49,blue
(Old) Ottawa|Ontario|Canada,45.41,-75.74,blue
Lafayette|Indiana|United States,40.4,-86.86,red
Manchester|England|United Kingdom,53.47,-2.23,red
Adelaide|South Australia|Australia,-35.02,138.57,blue
Hyderabad|Telangana|India,17.4,78.44,red
Guangzhou|Guangdong Province|China,23.15,113.34,blue
East Lake High-tech Zone|Hubei|China,30.51,114.41,red
Town of Hillsborough|North Carolina|United States,35.98,-79.15,blue
Silver Spring|Maryland|United States,39.0,-77.03,red
Glasgow|Scotland|United Kingdom,55.86,-4.24,red
College Station|Texas|United States,30.62,-96.33,red
Sapporo|@|Japan,43.13,141.25,blue
Yokohama|@|Japan,35.57,139.55,red
Mumbai|Maharashtra|India,19.21,72.83,red
Chengdu City|Sichuan|China,30.82,104.2,blue
Prague|Prague|Czechia,50.07,14.46,red
Minato|@|Japan,35.65,139.75,red
Malmo|@|Sweden,55.6,13.0,blue
Bengaluru|Karnataka|India,12.96,77.51,red
Dublin|@|Ireland,53.34,-6.27,red
Edinburgh|Scotland|United Kingdom,55.95,-3.18,red
Uppsala|@|Sweden,59.85,17.63,blue
Perth|Western Australia|Australia,-31.98,115.82,blue
Buenos Aires|Autonomous City of Buenos Aires|Argentina,-34.63,-58.46,blue
Helsinki|@|Finland,60.17,24.96,blue
Rochester|New York|United States,43.1,-77.61,blue
Daejeon|@|South Korea,36.36,127.38,red
Barcelona|Catalonia|Spain,41.39,2.17,blue
Tsukuba|@|Japan,36.11,140.11,red
Iowa City|Iowa|United States,41.66,-91.54,blue
Lansing|Michigan|United States,42.73,-84.54,red
Cincinnati|Ohio|United States,39.11,-84.51,red
Istanbul|@|Turkey,41.01,28.96,red
Versailles|Ile-de-France|France,48.8,2.14,blue
