City,Lat,Lng
Osaka|@|JP,34.68,135.48
Austin|TX|US,30.31,-97.71
Nundah|@|AU,-27.4,153.05
Tokyo|@|JP,34.23,139.29
Providence|RI|US,41.82,-71.43
Lake Forest|CA|US,33.66,-117.68
Villach|@|AT,46.61,13.83
Issaquah|WA|US,47.54,-122.04
Ome|@|JP,35.8,139.25
Orange|CA|US,33.64,-117.75
Yokohama|@|JP,35.45,139.61
Washington|DC|US,38.89,-76.99
Graham|NC|US,35.34,-83.83
Nagano|@|JP,36.11,138.1
Chiyoda|@|JP,35.69,139.75
Susono|@|JP,35.24,138.84
Carol Stream|IL|US,41.92,-88.13
Flemington|NJ|US,40.51,-74.86
Pensacola|FL|US,30.45,-87.2
St. Petersburg|FL|US,27.78,-82.65
Bath|@|GB,51.38,-2.37
Munich|@|DE,48.15,11.53
Seattle|WA|US,47.61,-122.36
Palo Alto|CA|US,37.38,-122.18
Waltham|MA|US,42.38,-71.24
Bethesda|MD|US,38.98,-77.09
Hiratsuka|@|JP,35.31,139.36
Visegrad|@|HU,47.77,18.98
Allen|TX|US,33.11,-96.68
Cupertino|CA|US,37.31,-122.06
Rochester|MN|US,44.0,-92.46
Inverness|IL|US,42.11,-88.09
Huntington Beach|CA|US,33.68,-118.0
Newton|MA|US,42.33,-71.21
San Diego|CA|US,32.82,-117.15
Wako|@|JP,35.79,139.62
Okayama|@|JP,34.8,133.85
Changwon-si|@|KR,35.21,128.6
Armonk|NY|US,41.13,-73.71
Caesarea|@|IL,32.49,34.89
Gries|@|AT,47.03,11.49
Kawasaki|@|JP,35.53,139.74
Langhorne|PA|US,40.18,-74.92
Lannion|@|FR,48.75,-3.48
Evanston|IL|US,42.05,-87.69
South Milwaukee|WI|US,42.91,-87.86
Hsinchu|@|TW,24.78,120.97
Corvallis|OR|US,44.56,-123.28
Asheboro|NC|US,35.71,-79.81
Houston|TX|US,29.82,-95.45
Crescent Forstville|@|AU,-41.93,147.5
Santa Ana|CA|US,33.74,-117.89
Schramberg|@|DE,48.23,8.39
Shenzhen|@|CN,22.54,113.93
Pleasantville|NY|US,41.14,-73.78
New York|NY|US,40.69,-73.88
Basking Ridge|NJ|US,40.71,-74.55
Hitchin|@|GB,51.95,-0.27
Paris|@|FR,48.86,2.35
Bridgewater|NJ|US,40.56,-74.55
Westerhoven|@|NL,51.33,5.4
Wenden-Hunsborn|@|DE,50.97,7.87
Willowdale|@|CA,43.78,-79.42
Sunnyvale|CA|US,37.37,-122.04
Bangkok|@|TH,13.72,100.6
Rochester|NY|US,43.19,-77.61
"Chemin du Fleuve, L̩vis QC|@|CA",54.5,-97.23
Raleigh|NC|US,35.78,-78.64
Aichi|@|JP,34.85,137.13
Cedar Rapids|IA|US,41.97,-91.69
Satillieu|@|FR,45.14,4.48
Hampshire|IL|US,42.11,-88.47
Bellevue|WA|US,47.6,-122.16
Zeist|@|NL,52.09,5.25
Ames|IA|US,42.03,-93.62
Ludwigshafen|@|DE,49.49,8.39
Joplin|MO|US,37.1,-94.5
Hitachi|@|JP,36.59,140.76
Portland|OR|US,45.54,-122.62
Arcadia|CA|US,34.13,-118.04
Monte Sereno|CA|US,37.24,-121.99
Salt Lake City|UT|US,40.78,-111.96
Heidenheim|@|DE,48.68,10.15
Pittsboro|NC|US,35.73,-79.18
San Jose|CA|US,37.3,-121.83
Geneva|@|CH,46.2,6.14
McPherson|KS|US,38.37,-97.65
Ansan-si|@|KR,37.21,126.59
Boise|ID|US,43.62,-116.2
Hamilton|OH|US,39.4,-84.57
Taichung|@|TW,24.22,120.81
Cambridge|MA|US,42.38,-71.13
Buffalo|MN|US,45.18,-93.87
Little Rock|AR|US,34.75,-92.29
Kobe|@|JP,34.71,135.13
Fort Lauderdale|FL|US,26.15,-80.14
San Marcos|CA|US,33.14,-117.17
Villemoisson sur Orge|@|FR,48.66,2.33
Baytown|TX|US,29.74,-94.96
St. Germain|WI|US,45.9,-89.49
Sandgasse|@|DE,50.11,8.76
Walldorf|@|DE,49.3,8.63
Iwata|@|JP,34.67,137.85
Niles|MI|US,41.85,-86.25
Ross|CA|US,37.96,-122.56
Sonnhalde|@|DE,47.63,7.91
Headington|@|GB,51.76,-1.2
Reno|NV|US,39.55,-119.8
Oceanside|CA|US,33.2,-117.38
Clifton Park|NY|US,42.87,-73.77
McLean|VA|US,38.93,-77.17
Seongnam-si|@|KR,37.4,127.11
Seoul|@|KR,37.56,126.94
Detroit|MI|US,42.33,-83.05
Chiayi County|@|TW,23.43,120.49
Miki|@|JP,34.85,135.09
Qingdao|@|CN,36.06,120.38
"Pirton, Nr Hitchin|@|GB2",52.13,-2.18
New Tripoli|PA|US,40.68,-75.75
Santa Clara|CA|US,37.37,-121.96
Middlebury|CT|US,41.53,-73.13
Gunma|@|JP,36.52,138.92
Quartier Notre Dame Pertuis|@|FR,48.86,2.32
Mountain View|CA|US,37.41,-122.08
Indianapolis|IN|US,39.77,-86.16
Edmond|OK|US,35.66,-97.46
Memphis|TN|US,35.13,-89.92
Nutley|NJ|US,40.82,-74.15
Herkimer|NY|US,43.03,-74.99
San Mateo|CA|US,37.38,-122.34
Carteret|NJ|US,40.58,-74.23
Wilmington|DE|US,39.75,-75.55
Alexandria|VA|US,38.81,-77.09
Forest Lake|MN|US,45.28,-92.99
Gyeonggi-do|@|KR,37.59,127.41
Hengelo|@|NL,52.25,6.8
Dearborn|MI|US,42.31,-83.21
Chanhassen|MN|US,44.84,-93.55
Gurnee|IL|US,42.37,-87.9
Daejeon|@|KR,36.34,127.39
North Salem|NY|US,41.33,-73.57
Redmond|WA|US,47.67,-122.12
Ikoma|@|JP,34.62,135.7
Woodbury|MN|US,44.92,-92.96
Medina|OH|US,41.13,-81.93
Irvine|CA|US,33.69,-117.77
Crystal Lake|IL|US,42.23,-88.33
Moab|UT|US,38.57,-109.55
San Antonio|TX|US,29.46,-98.56
Odawara|@|JP,35.25,139.16
Gevelsberg|@|DE,51.32,7.34
Chicago|IL|US,41.83,-87.67
Frederiksberg|@|DK,55.68,12.51
Pomezia|@|IT,41.66,12.48
"Morris Township, Morris County|NJ|US",40.8,-74.52
Canton|MI|US,42.31,-83.49
Sioux Falls|SD|US,43.54,-96.73
Orlando|FL|US,28.48,-81.45
Stevenage|@|GB,51.92,-0.22
Turin|@|IT,45.07,7.69
Lausanne|@|CH,46.55,6.7
Doussard|@|FR,45.76,6.23
Sleepy Hollow|IL|US,42.09,-88.31
Las Vegas|NV|US,36.17,-115.15
Shiga|@|JP,35.25,136.11
Kaisei-machi|@|JP,35.34,139.13
San Francisco|CA|US,37.73,-123.05
Douglas|@|IM,54.0,-4.0
Livonia|MI|US,42.4,-83.37
Minato-ku|@|JP,35.65,139.74
Chester|NJ|US,40.79,-74.69
Comstock Park|MI|US,43.03,-85.67
Yunlin County|@|TW,23.63,120.27
Hong Kong|@|HK,22.28,114.15
Lons le Saunier|@|FR,46.68,5.56
Louveciennes|@|FR,48.86,2.12
Torrance|CA|US,33.83,-118.34
Hockessin|DE|US,39.79,-75.69
Suwa|@|JP,36.11,138.12
Menlo Park|CA|US,37.48,-122.1
Anderson|CA|US,40.45,-122.3
Schaumburg|IL|US,42.03,-88.06
Bangalore|@|IN,12.95,77.55
Orinda|CA|US,37.88,-122.18
Flint|MI|US,43.01,-83.69
Irving|TX|US,32.86,-96.98
Dallas|TX|US,32.81,-96.79
Pittsburgh|PA|US,40.43,-79.98
Cincinnati|OH|US,39.14,-84.51
Hillsborough|CA|US,37.56,-122.36
Niestetal|@|DE,51.32,9.58
Nijmegen|@|NL,51.84,5.84
Craftsbury Common|VT|US,44.65,-72.38
Schenectady|NY|US,42.8,-73.94
Moline|IL|US,41.51,-90.52
Fukuoka|@|JP,33.79,130.59
Akashi|@|JP,34.67,134.91
Taoyuan|@|TW,25.0,121.3
Santa Monica|CA|US,34.03,-118.5
Nevada City|CA|US,39.26,-121.02
Arvin|CA|US,35.2,-118.83
Dachau|@|DE,48.27,11.45
Trenton|NJ|US,40.22,-74.75
Santa Barbara|CA|US,34.72,-120.06
Costa Mesa|CA|US,33.66,-117.9
Boston|MA|US,42.31,-71.06
Nagoya|@|JP,35.14,136.91
Phoenix|AZ|US,33.45,-112.07
Singapore|@|SG,1.29,103.86
Herzogenaurach|@|DE,49.55,10.88
Teaneck|NJ|US,40.9,-74.01
Taipei|@|TW,25.09,121.56
Zaragoza|@|ES,41.65,-0.88
Hemer|@|DE,51.36,7.78
Eindhoven|@|NL,51.45,5.45
Sydney|@|AU,-33.77,150.96
Apple Valley|MN|US,44.75,-93.2
Duxbury|MA|US,42.04,-70.66
Muncie|IN|US,40.19,-85.38
Venice|CA|US,33.99,-118.47
Fort McMurray|@|CA,56.73,-111.38
Beaverton|OR|US,45.48,-122.8
Lee's Summit|MO|US,38.93,-94.38
New Braunfels|TX|US,29.7,-98.12
Nobeoka|@|JP,32.64,131.68
Charlotte|NC|US,35.2,-80.83
Chikushino|@|JP,33.49,130.57
Stanford|CA|US,37.43,-122.17
Atlanta|GA|US,33.77,-84.42
Kyoto|@|JP,35.02,135.76
Lund|@|SE,55.71,13.2
Vienna|@|AT,48.22,16.37
Shoreview|MN|US,45.07,-93.13
Germantown|TN|US,35.07,-89.78
Le Faget|@|FR,43.5,0.74
Hatfield|@|GB,51.77,-0.23
Hampshire|@|GB,51.04,-1.24
Trinity|FL|US,28.18,-82.68
Columbus|IN|US,39.2,-85.96
Gilbert|AZ|US,33.3,-111.76
Madison|NJ|US,40.76,-74.42
North Canton|OH|US,40.88,-81.4
Jinyun|@|CN,28.68,120.12
Jongno-gu|@|KR,37.6,126.98
Beaumont les Valence|@|FR,44.87,4.95
Burr Ridge|IL|US,41.75,-87.91
Frankfurt am Main|@|DE,50.12,8.66
Yongin-si|@|KR,37.24,127.18
Gougenot|@|FR,48.75,2.3
Long Beach|CA|US,33.79,-118.16
Colorado Springs|CO|US,38.88,-104.81
London|@|GB,51.49,-0.14
Ada|MI|US,42.95,-85.49
Chang Hua Hsien|@|TW,25.01,121.47
Chandler|AZ|US,33.31,-111.84
Shizuoka|@|JP,35.01,138.56
Northridge|CA|US,34.23,-118.54
Amagasaki|@|JP,34.72,135.42
Sandy Hook|CT|US,41.42,-73.28
Wilmington|NC|US,34.21,-77.89
Miami Beach|FL|US,25.81,-80.14
Delfgauw|@|NL,52.0,4.4
Highland|MI|US,42.64,-83.62
Cheongju-si|@|KR,36.64,127.49
Rutherford|NJ|US,40.83,-74.11
Brixlegg|@|AT,47.43,11.91
San Clemente|CA|US,33.44,-117.61
Columbus|OH|US,39.98,-82.97
Woodstock|CT|US,41.95,-71.97
Dunningen|@|DE,48.22,8.49
Warrenville|IL|US,41.82,-88.18
Sycamore|IL|US,42.0,-88.68
Vallingby|@|SE,59.37,17.84
Livermore|CA|US,37.68,-121.77
Planegg|@|DE,48.1,11.45
Katy|TX|US,29.79,-95.83
Shanghai|@|CN,31.23,121.49
Osnago|@|IT,45.68,9.39
Aalsmeer|@|NL,52.26,4.76
Huber Heights|OH|US,39.86,-84.11
Prambachkirchen|@|AT,48.32,13.92
Palatine|IL|US,42.12,-88.04
Richmond|VA|US,37.54,-77.43
Buena Park|CA|US,33.87,-118.0
Takahara|@|JP,34.32,135.9
Chilliwack|@|CA,49.15,-121.94
Shrewsbury|MA|US,42.3,-71.71
Velbert|@|DE,51.34,7.08
Franklin|NJ|US,41.11,-74.59
Pacifica|CA|US,37.61,-122.49
Lakewood|CO|US,39.7,-105.1
Rossdorf|@|DE,49.87,8.77
Lowell|MA|US,42.63,-71.32
Minami-ashigara|@|JP,35.27,139.15
Lake Zurich|IL|US,42.2,-88.09
Blacksburg|VA|US,37.23,-80.41
Palm Bay|FL|US,27.96,-80.67
Angouleme|@|FR,45.65,0.15
Jeonbuk|@|KR,37.41,127.52
Abano Terme|@|IT,45.36,11.8
Hadano|@|JP,35.4,139.2
Barrington|IL|US,42.15,-88.14
Fujinomiya|@|JP,35.3,138.62
Malvern|@|GB,52.12,-2.32
"Kariya, Aichi-pref.|@|JP",34.99,138.43
Sandy|UT|US,40.57,-111.89
Pleasant Hill|CA|US,37.95,-122.06
White Plains|NY|US,41.03,-73.76
Freiburg|@|DE,47.99,7.81
Simpsonville|SC|US,34.74,-82.26
Fremont|CA|US,37.53,-121.94
Burton|MI|US,43.0,-83.61
Lexington|MA|US,42.45,-71.23
Leeds|AL|US,33.54,-86.56
Grayson|GA|US,33.89,-83.96
Nabari|@|JP,34.62,136.12
St. Louis|MO|US,38.64,-90.52
Freeport|TX|US,28.94,-95.36
Chepstow|@|GB,51.62,-2.67
Jamaica Plain|MA|US,42.31,-71.12
Solon|OH|US,41.39,-81.44
Glastonbury|@|GB,51.15,-2.72
Newport Beach|CA|US,33.6,-117.89
Wuxi|@|CN,31.55,120.35
Montigny le Bretonneux|@|FR,48.77,2.03
Loveland|OH|US,39.27,-84.27
Louisville|KY|US,38.19,-85.49
Princeton|NJ|US,40.35,-74.66
Chiryu|@|JP,35.0,137.05
Cordova|TN|US,35.16,-89.78
The Woodlands|TX|US,30.17,-95.5
Bedford|@|GB,52.14,-0.47
Melbourne|FL|US,28.12,-80.66
Derby|@|GB,52.91,-1.47
Loimaa|@|FI,60.85,23.05
Monroeville|AL|US,31.52,-87.33
St. Charles|IL|US,41.93,-88.29
Englewood|CO|US,39.65,-104.99
Severna Park|MD|US,39.07,-76.55
Los Angeles|CA|US,34.02,-118.29
Hong Kong|@|CN,22.35,114.19
Madison Heights|MI|US,42.51,-83.11
Clinton|UT|US,41.14,-112.05
Korschenbroich|@|DE,51.19,6.51
Jinseki|@|JP,34.77,133.33
Southbury|CT|US,41.48,-73.21
East Aurora|NY|US,42.77,-78.62
St. James|NY|US,40.88,-73.15
Guangdong|@|CN,22.82,114.03
Argyle|TX|US,33.11,-97.18
North Salt Lake|UT|US,40.85,-111.91
Findlay|OH|US,41.04,-83.65
North Brunswick|NJ|US,40.45,-74.49
Chesterfield|MO|US,38.65,-90.59
Sorrento|FL|US,28.81,-81.56
Christiansburg|VA|US,37.14,-80.42
Waccabuc|NY|US,41.3,-73.58
Toyota|@|JP,35.14,137.28
Cheshire|@|GB,53.16,-2.73
Foster City|CA|US,37.57,-122.23
Davis|CA|US,38.55,-121.75
Cumming|GA|US,34.2,-84.14
Suzhou|@|CN,31.3,120.59
Slough|@|GB,51.51,-0.59
Quesnel|@|CA,52.99,-122.46
Glasgow|@|GB,55.86,-4.25
West Bloomfield|MI|US,42.57,-83.35
Plano|TX|US,33.06,-96.76
Rockwall|TX|US,32.92,-96.44
Stuttgart|@|DE,48.78,9.19
Bad Soden|@|DE,50.14,8.5
Kronberg/Taunus|@|DE,50.19,8.52
"Shenzhen, Guangdong Province|@|CN",23.14,113.2
Northbrook|IL|US,42.13,-87.83
Granada Hills|CA|US,34.3,-118.51
Duluth|GA|US,34.0,-84.15
El Segundo|CA|US,33.91,-118.44
Wolfenbuttel|@|DE,52.17,10.56
Kansas City|MO|US,39.09,-94.55
Hamilton|@|BM,32.29,-64.78
Breda|@|NL,51.56,4.75
Libertyville|IL|US,42.29,-87.96
Sprimont|@|BE,50.51,5.65
Minneapolis|MN|US,44.97,-93.27
Jersey City|NJ|US,40.71,-74.07
Bluffton|OH|US,40.89,-83.89
Dartmouth|MA|US,41.63,-70.99
Falls Church|VA|US,38.89,-77.18
Aschaffenburg|@|DE,49.97,9.15
Morgan Hill|CA|US,37.13,-121.66
Jabiru|@|AU,-27.19,153.11
Winston-Salem|NC|US,36.11,-80.25
Watchung|NJ|US,40.64,-74.43
Mannheim|@|DE,49.5,8.51
Beijing|@|CN,40.25,116.63
Swampscott|MA|US,42.46,-70.87
Madison|WI|US,43.09,-89.39
Cary|NC|US,35.75,-78.79
Missoula|MT|US,46.88,-113.99
"Southern Harbour, Newfoundland|@|CA",49.24,-87.16
Fall City|WA|US,47.57,-121.9
Zhongshan|@|CN,22.5,113.45
Daegu|@|KR,35.85,128.56
Hudsonville|MI|US,42.86,-85.87
"Hirai-cho, Sabae-shi, Fukui 916|@|JP",34.94,134.82
Holzgerlingen|@|DE,48.64,9.02
Winchester|MA|US,42.45,-71.14
Palm Beach|FL|US,26.64,-80.43
Mount Prospect|IL|US,42.06,-87.94
Nishitama|@|JP,35.78,139.07
Hercules|CA|US,38.02,-122.29
Carlsbad|CA|US,33.16,-117.35
Auburn|MA|US,42.19,-71.84
Battle Creek|MI|US,42.3,-85.24
Lexington|KY|US,38.05,-84.5
Shinchi|@|JP,37.99,141.07
Copenhagen|@|DK,55.67,12.58
Mayfield Heights|OH|US,41.52,-81.45
Hattersheim|@|DE,50.05,8.48
Greenfield|WI|US,42.96,-88.01
Florham Park|NJ|US,40.77,-74.4
Highland|IL|US,38.77,-89.68
Farmington|CT|US,41.72,-72.83
Shandong|@|CN,36.0,119.0
Dayton|OH|US,39.78,-84.2
Schweinfurt|@|DE,50.05,10.22
Immendingen|@|DE,47.94,8.71
Pessac|@|FR,44.79,-0.68
Marshalltown|IA|US,42.03,-92.92
Lenexa|KS|US,38.96,-94.82
Reading|@|GB,51.46,-0.97
Yamanashi|@|JP,35.57,138.69
Hwaseong-si|@|KR,37.15,126.79
McMurray|PA|US,40.28,-80.08
Pompton Lakes|NJ|US,41.0,-74.29
Hinwil|@|CH,47.3,8.85
San Ramon|CA|US,37.76,-121.96
Woodinville|WA|US,47.75,-122.17
Belo Horizonte|@|BR,-19.92,-43.95
Ehime|@|JP,33.55,132.51
Skokie|IL|US,42.03,-87.74
Richland|WA|US,46.28,-119.3
Ditzingen|@|DE,48.83,9.07
Camarillo|CA|US,34.22,-119.05
Horikawa-dori|@|JP,38.25,140.88
Hsinchu County|@|TW,24.69,121.15
Yorktown|VA|US,37.24,-76.51
Hortonville|WI|US,44.33,-88.64
Edina|MN|US,44.9,-93.36
Ottawa|@|CA,45.42,-75.69
Hiroshima|@|JP,34.45,132.4
Wellington|@|CA,43.7,-80.37
Icheon-si|@|KR,37.2,127.45
Itami|@|JP,34.79,135.41
Belmont|CA|US,37.52,-122.28
Meriden|CT|US,41.54,-72.8
Ichihara|@|JP,35.41,140.14
New Taipei|@|TW,24.99,121.77
Queensbury|NY|US,43.36,-73.67
Burlington|@|CA,43.33,-79.8
Elkhart|IN|US,41.69,-85.96
Rivera|@|CH,46.12,8.92
Tuchenbach|@|DE,49.53,10.86
Ann Arbor|MI|US,42.27,-83.75
Kingsport|TN|US,36.55,-82.56
Bothell|WA|US,47.77,-122.2
Hitachinaka|@|JP,36.36,140.7
Nova Scotia|@|CA,45.26,-62.99
Spencerport|NY|US,43.19,-77.8
Hagen-Emst|@|DE,51.34,7.49
Danvers|MA|US,42.58,-70.93
Kawagoe|@|JP,35.9,139.48
Chatsworth|CA|US,34.26,-118.6
Pusignan|@|FR,45.76,5.07
Encinitas|CA|US,33.04,-117.27
Cantonment|FL|US,30.61,-87.34
Kitakyushu|@|JP,33.95,130.75
Somerville|NJ|US,40.57,-74.61
Fort Pierce|FL|US,27.39,-80.41
Sydenham|@|CA,42.95,-81.62
Marlborough|MA|US,42.35,-71.55
Bath|ME|US,43.93,-69.83
Himeji|@|JP,34.78,134.66
Suwon-si|@|KR,37.29,127.01
Pasadena|CA|US,34.18,-118.17
Andrezieux Boutheon|@|FR,45.54,4.28
Thirsk|@|GB,54.24,-1.37
Dearborn Heights|MI|US,42.31,-83.3
Fort Wayne|IN|US,41.08,-85.12
Dresden|@|DE,51.05,13.74
Creedmoor|NC|US,36.12,-78.69
Bloomfield Hills|MI|US,42.58,-83.25
Stockholm|@|SE,59.33,18.07
County Monaghan|@|IE,54.16,-6.95
Higashiosaka|@|JP,34.67,135.62
Langenhagen|@|DE,52.46,9.7
Hofors|@|SE,60.49,16.45
Ville-D'Avray|@|FR,48.81,2.19
Montara|CA|US,37.55,-122.49
Dickinson|ND|US,46.88,-102.79
Mequon|WI|US,43.24,-88.03
Shorewood|MN|US,44.93,-93.54
Warsaw|IN|US,41.25,-85.84
Moshav Mazor|@|IL,31.95,34.92
Montreuil|@|FR,49.03,3.19
Rome|@|IT,41.89,12.49
Castle Rock|CO|US,39.37,-104.86
Culver City|CA|US,34.01,-118.4
Apex|NC|US,35.72,-78.84
Cave Creek|AZ|US,33.85,-111.97
Mooresville|IN|US,39.59,-86.38
Hannover|@|DE,52.4,9.8
Lynchburg|VA|US,37.4,-79.18
Kornwestheim|@|DE,48.87,9.19
Kirkkonummi|@|FI,60.04,24.52
Peoria|IL|US,40.74,-89.77
St. Joseph|MI|US,41.95,-85.58
Birmingham|MI|US,42.55,-83.21
Alta|IA|US,42.67,-95.3
